Fecha;COLTES         ;COLTES CP      ;COLTES LP      ;COLTES UVR     ;COLTES UVR CP  ;COLTES UVR LP  
18/04/2023;291;276;312;377;124;115
19/04/2023;290;276;312;379;124;116
20/04/2023;291;277;312;380;124;116
21/04/2023;291;277;313;381;125;117
24/04/2023;293;278;314;382;125;117
25/04/2023;294;278;317;383;125;117
26/04/2023;292;278;313;382;125;117
27/04/2023;288;276;308;378;124;115
28/04/2023;288;276;308;380;125;116
2/05/2023;286;275;305;377;125;115
3/05/2023;289;276;309;380;125;116
4/05/2023;290;277;311;381;125;116
5/05/2023;293;279;315;381;125;116
8/05/2023;295;279;317;383;125;117
9/05/2023;295;279;317;383;126;117
10/05/2023;295;280;318;384;126;117
11/05/2023;296;280;318;387;126;118
12/05/2023;297;280;319;387;126;119
15/05/2023;299;282;323;390;126;120
16/05/2023;300;282;324;389;126;119
17/05/2023;301;282;325;387;126;118
18/05/2023;299;281;322;386;126;118
19/05/2023;297;281;320;385;126;117
23/05/2023;296;281;318;384;126;117
24/05/2023;297;281;319;386;126;118
25/05/2023;296;280;318;385;126;118
26/05/2023;296;280;317;385;126;117
29/05/2023;298;282;321;387;127;118
30/05/2023;300;282;323;389;127;119
31/05/2023;300;282;324;390;127;119
